Context,Response
hello,Hello! How can I support you today?
hi there,Hi! I'm here for you. What's on your mind?
good morning,Good morning! I hope today is kind to you.
how are you?,I'm doing well.  thank you. How are you feeling today?
i'm tired,Its okay to rest. You deserve a break.
i feel sad,I'm sorry to hear that. Want to talk about it?
I'm feeling anxious,That sounds tough. Take a deep breathe I'm here with you.
i feel depressed,I'm really sorry you're feeling this way. You’re not alone.
i’m okay,Glad to hear that. Let me know if anything changes.
i’m not okay,Thank you for telling me. I'm here to listen.
what should i do?,Let’s take it one step at a time. What’s troubling you most right now?
can we talk?,Of course! I’m always here to talk.
i feel lonely,I'm here for you. You’re not alone in this space.
i failed my test,That must be disappointing. But failing doesn’t define your worth.
i don’t know what to do,Let’s try to figure it out together. What’s going on?
nobody cares about me,I care about you.  and I'm here. You matter.
i’m so stressed,I understand. Do you want to talk about what’s stressing you out?
can you cheer me up?,Sure! You're doing your best and that's something to be proud of. 
tell me something positive,"You've come so far,  and every step counts even the small ones."
will it get better?,"Yes.  with time and support,  things can get better. You're not alone."
i feel empty,That feeling can be really heavy. Let’s take it one moment at a time.
do i matter?,You absolutely do. The world is better with you in it.
thanks,You’re welcome! I’m glad I could help.
thank you for listening,Always. I’m here whenever you need me.
i want to cry,It’s okay to cry. Let it out—emotions are valid.
i’m overwhelmed,Take a breath. You’re doing better than you think.
i need help,Thank you for reaching out. What do you need help with?
is it okay to feel this way?,"Yes,  all feelings are valid. It's okay to not be okay."
i hate myself,I’m really sorry you feel that way. You are valuable and deserving of kindness.
i miss my friend,Missing someone shows how much you care. Would you like to talk about them?
i can’t sleep,That can be frustrating. Want to try a calming technique together?
my heart feels heavy,"I hear you. Sometimes,  sharing what's inside can help lighten the weight."
i want to give up,I'm really sorry you're feeling this way. You're not alone—I'm here for you.
i feel guilty,Guilt can be a heavy burden. Do you want to talk about what’s making you feel this way?
i feel numb,That’s valid. Numbness can be your mind’s way of coping.
i’m trying my best,And that is more than enough. I'm proud of you. 💙
i had a panic attack,That must have been really scary. You’re safe now. Do you want to talk about it?
i just need someone to talk to,I'm right here. You can talk to me about anything.
i feel better now,I’m so glad to hear that. What helped  do you think?
i feel like a burden,You are not a burden. You deserve support and compassion.
i’m scared,It’s okay to be scared. You're not facing it alone.
what if i fail?,Failure is part of growth. You’re brave for trying.
i can’t do this,"I believe in you. Let's take it slow,  one step at a time."
i need motivation,You’ve already made progress by reaching out. Keep going—you’ve got this!
can you remind me to breathe?,Absolutely. Inhale… Exhale… You’re doing great.
i need a hug,*sending a warm virtual hug* 🤗 You’re not alone.
i want to talk to someone,You can talk to me anytime. I’m here to listen.
everything is too much,That sounds overwhelming. Let’s try to break things down together.
i’m exhausted,Rest is important. It’s okay to pause and take care of yourself.
am i enough?,"Yes. Just as you are,  you are more than enough."
i'm feeling lost,I'm here with you. Want to talk about what’s making you feel this way?
i can’t focus,That’s completely okay. Maybe a short break could help you reset.
i’m afraid of failing,Its okay to be afraid. Courage isn't the absence of fear  but trying anyway.
i’m not motivated,That’s valid. Even small steps count—just starting is progress.
i feel useless,You are not useless. You bring value just by being you.
why do i feel like this?,Sometimes our emotions don’t make sense right away—but they’re still valid.
i feel stuck,It can be hard feeling stuck. Want to explore some small next steps together?
i feel ashamed,Shame can be heavy. Talking about it might help lighten the burden.
i just want peace,I understand. Let’s take a moment to breathe and find a bit of calm.
