Task_ID,Task_Type,Priority,Completion_Status,Dependency,Task_Importance,Estimated_Time,Interruptions,Workload,Task_Creation_Time,Deadline,Hours_To_Deadline,Urgency_Score
TASK_0001,Testing,Low,In Progress,None,6,7.1,1.2,4.3,2025-06-01 16:00:00,2025-06-03 23:00:00,55.0,4.0
TASK_0002,Presentation,Medium,Completed,None,5,2.8,2.8,5.5,2025-06-05 04:00:00,2025-06-09 10:00:00,102.0,3.5
TASK_0003,Design,High,Pending,Internal,9,6.9,1.0,7.5,2025-06-03 15:00:00,2025-06-06 20:00:00,77.0,5.1
TASK_0004,Report Writing,Low,Completed,None,2,6.9,0.5,2.0,2025-06-04 18:00:00,2025-06-06 07:00:00,37.0,2.6
TASK_0005,Research,Low,In Progress,None,1,6.2,4.6,4.7,2025-06-04 16:00:00,2025-06-06 07:00:00,39.0,3.2
TASK_0006,Assignment,Low,Pending,None,8,1.6,4.1,5.4,2025-06-01 12:00:00,2025-06-04 13:00:00,73.0,4.5
TASK_0007,Testing,High,Pending,Internal,3,5.7,3.8,5.9,2025-06-03 23:00:00,2025-06-05 21:00:00,46.0,3.6
TASK_0008,Training,Medium,Completed,None,7,7.6,0.2,8.4,2025-06-03 07:00:00,2025-06-08 00:00:00,113.0,4.4
TASK_0009,Report Writing,Low,In Progress,None,10,5.6,4.2,2.5,2025-06-01 04:00:00,2025-06-01 23:00:00,19.0,6.0
TASK_0010,Report Writing,High,Completed,None,8,3.0,2.2,8.3,2025-06-01 11:00:00,2025-06-04 01:00:00,62.0,4.7
TASK_0011,Assignment,High,Pending,None,6,4.3,1.7,7.2,2025-06-02 16:00:00,2025-06-05 00:00:00,56.0,4.1
TASK_0012,Review,Low,Pending,Internal,10,5.3,2.7,6.0,2025-06-01 02:00:00,2025-06-02 00:00:00,22.0,5.9
TASK_0013,Research,Medium,In Progress,External,9,4.3,0.5,7.3,2025-06-05 02:00:00,2025-06-09 07:00:00,101.0,4.6
TASK_0014,Analysis,High,Pending,None,7,1.4,3.8,4.7,2025-06-02 08:00:00,2025-06-06 04:00:00,92.0,4.0
TASK_0015,Assignment,Medium,In Progress,External,10,2.8,2.9,2.2,2025-06-04 13:00:00,2025-06-08 15:00:00,98.0,4.7
TASK_0016,Planning,Low,Completed,None,5,6.5,0.9,7.0,2025-06-03 01:00:00,2025-06-07 21:00:00,116.0,3.7
TASK_0017,Exam Preparation,Low,Completed,Internal,8,7.0,0.9,5.7,2025-06-03 07:00:00,2025-06-05 03:00:00,44.0,4.8
TASK_0018,Deployment,Low,Completed,Internal,2,1.5,0.9,6.8,2025-06-05 11:00:00,2025-06-08 23:00:00,84.0,2.2
TASK_0019,Planning,High,Completed,None,7,7.6,0.3,4.0,2025-06-01 08:00:00,2025-06-03 10:00:00,50.0,4.2
TASK_0020,Assignment,High,Pending,Internal,4,3.0,2.9,9.2,2025-06-05 08:00:00,2025-06-09 09:00:00,97.0,3.6
TASK_0021,Meeting,Low,In Progress,External,9,5.5,4.2,6.3,2025-06-04 09:00:00,2025-06-08 19:00:00,106.0,5.3
TASK_0022,Exam Preparation,Low,In Progress,None,1,6.1,0.1,1.8,2025-06-03 01:00:00,2025-06-05 10:00:00,57.0,1.9
TASK_0023,Exam Preparation,Low,Completed,None,7,6.6,0.2,5.0,2025-06-02 04:00:00,2025-06-04 14:00:00,58.0,4.1
